date,open,high,low,close,volume,open_interest,qrs_raw,qrs_r2,qrs_zscore,qrs_adjusted,qrs_slope,qrs_percentile,daily_return,raw_signal,position,benchmark_return,strategy_return,strategy_nav,benchmark_nav,strategy_drawdown,benchmark_drawdown,turnover
2023-05-25,101.56,101.565,101.45,101.47,67054,155929.0,1.0228704317275428,0.944643388764643,,,,,-0.0010337189269012947,0.0,0.0,-0.0010337189269012947,-0.0,1.0,1.014750737536876,0.0,-0.0035842293906808154,0.0
2023-05-26,101.465,101.515,101.31,101.36,73013,155911.0,1.0252103295162502,0.9320600924909473,,,,,-0.0010840642554449387,0.0,0.0,-0.0010840642554449387,-0.0,1.0,1.013650682534126,0.0,-0.004664408111159979,0.0
2023-05-29,101.315,101.505,101.27,101.49,64128,161414.0,0.9482788775991797,0.9065473383526338,,,,,0.001282557221783609,0.0,0.0,0.001282557221783609,0.0,1.0,1.014950747537376,0.0,-0.003387833259684725,0.0
2023-05-30,101.53,101.57,101.425,101.43,69533,167197.0,0.9264807700139882,0.9153251380156198,,,,,-0.0005911912503693273,0.0,0.0,-0.0005911912503693273,-0.0,1.0,1.0143507175358761,0.0,-0.003977021652673218,0.0
2023-05-31,101.47,101.55,101.415,101.52,69902,169361.0,0.9402901635369318,0.9395027748371417,,,,,0.0008873114463174847,0.0,0.0,0.0008873114463174847,0.0,1.0,1.015250762538126,0.0,-0.0030932390631904783,0.0
2023-06-01,101.605,101.695,101.525,101.65,64958,175276.0,0.9413596123128645,0.9386970774629929,,,,,0.0012805358550040946,0.0,0.0,0.0012805358550040946,0.0,1.0,1.0165508275413764,0.0,-0.0018166642117147802,0.0
2023-06-02,101.585,101.605,101.205,101.295,89827,180161.0,0.8206267995824416,0.8393440072679454,,,,,-0.003492375799311387,0.0,0.0,-0.003492375799311387,-0.0,1.0,1.0130006500325008,0.0,-0.005302695536897772,0.0
2023-06-05,101.35,101.475,101.315,101.47,61534,183934.0,0.8282738716183341,0.837657568216457,,,,,0.0017276272274051596,0.0,0.0,0.0017276272274051596,0.0,1.0,1.014750737536876,0.0,-0.0035842293906808154,0.0
2023-06-06,101.48,101.63,101.455,101.62,62533,186269.0,0.76619882351207,0.7952932380120339,,,,,0.0014782694392432294,0.0,0.0,0.0014782694392432294,0.0,1.0,1.0162508125406264,0.0,-0.002111258408209027,0.0
2023-06-07,101.635,101.715,101.585,101.7,68630,190809.0,0.7679128921127202,0.7807741313273633,,,,,0.000787246604998959,0.0,0.0,0.000787246604998959,0.0,1.0,1.0170508525426265,0.0,-0.001325673884224221,0.0
2023-06-08,101.66,101.68,101.565,101.625,60143,191235.0,0.7134619191097338,0.7540853242678126,,,,,-0.0007374631268436405,0.0,0.0,-0.0007374631268436405,-0.0,1.0,1.0163008150407515,0.0,-0.0020621593754598377,0.0
2023-06-09,101.635,101.94,101.6,101.89,76699,201585.0,0.8439400506421575,0.6994072114322476,,,,,0.0026076260762608605,0.0,0.0,0.0026076260762608605,0.0,1.0,1.018950947547377,0.0,0.0,0.0
2023-06-12,101.89,101.98,101.805,101.88,63030,203680.0,0.8813458171980328,0.774497921970898,,,,,-9.814505839633725e-05,0.0,0.0,-9.814505839633725e-05,-0.0,1.0,1.018850942547127,0.0,-9.814505839622623e-05,0.0
2023-06-13,102.1,102.245,102.0,102.145,77186,212961.0,0.9814511623576218,0.8710310201823118,,,,,0.0026010993325480403,0.0,0.0,0.0026010993325480403,0.0,1.0,1.0215010750537523,0.0,0.0,0.0
2023-06-14,102.315,102.335,102.12,102.195,59948,213116.0,0.9886940604922543,0.909004483364113,,,,,0.000489500220275163,0.0,0.0,0.000489500220275163,0.0,1.0,1.0220011000550024,0.0,0.0,0.0
2023-06-15,102.06,102.085,101.805,101.845,83904,209498.0,1.004330033496984,0.9074395834558099,,,,,-0.0034248250892899845,0.0,0.0,-0.0034248250892899845,-0.0,1.0,1.018500925046252,0.0,-0.0034248250892900955,0.0
2023-06-16,101.795,101.84,101.445,101.585,113567,203784.0,0.9860692251525569,0.8752658975505495,,,,,-0.0025528990132064333,0.0,0.0,-0.0025528990132064333,-0.0,1.0,1.0159007950397516,0.0,-0.005968980869905605,0.0
2023-06-19,101.585,101.615,101.35,101.445,94318,201894.0,0.9753394324339993,0.8820434376219101,,,,,-0.0013781562238519562,0.0,0.0,-0.0013781562238519562,-0.0,1.0,1.0145007250362514,0.0,-0.007338910905621665,0.0
2023-06-20,101.53,101.62,101.475,101.58,58912,199390.0,0.9711297071129624,0.8850221688811334,,,,,0.0013307703681797456,0.0,0.0,0.0013307703681797456,0.0,1.0,1.0158507925396265,0.0,-0.006017906942609841,0.0
2023-06-21,101.675,101.745,101.595,101.67,61017,196061.0,0.9636188916576931,0.8749617236989906,,,,,0.0008860011813349722,0.0,0.0,0.0008860011813349722,0.0,1.0,1.0167508375418768,0.0,-0.005137237633935143,0.0
2023-06-26,101.75,101.805,101.7,101.725,51211,195128.0,0.953041310802381,0.855845886162962,,,,,0.0005409658699713216,0.0,0.0,0.0005409658699713216,0.0,1.0,1.0173008650432518,0.0,-0.004599050834189655,0.0
2023-06-27,101.69,101.69,101.535,101.635,60155,193129.0,0.9439089742338741,0.8522389833095005,,,,,-0.0008847382649298519,0.0,0.0,-0.0008847382649298519,-0.0,1.0,1.0164008200410017,0.0,-0.005479720142864131,0.0
2023-06-28,101.72,101.78,101.67,101.77,52661,193805.0,0.9195427105621662,0.8407684182577522,,,,,0.0013282825798197617,0.0,0.0,0.0013282825798197617,0.0,1.0,1.0177508875443768,0.0,-0.0041587161798523065,0.0
2023-06-29,101.7,101.87,101.675,101.81,58663,193977.0,0.9152333773396225,0.8412316952737269,,,,,0.00039304313648425016,0.0,0.0,0.00039304313648425016,0.0,1.0,1.018150907545377,0.0,-0.003767307598219083,0.0
2023-06-30,101.86,101.99,101.785,101.99,61932,192106.0,1.0079100626612458,0.8743051942520859,,,,,0.0017679992142225487,0.0,0.0,0.0017679992142225487,0.0,1.0,1.019950997549877,0.0,-0.002005968980870021,0.0
2023-07-03,101.935,101.95,101.825,101.88,47946,191576.0,0.9718419634343325,0.8480565578298984,,,,,-0.0010785371114815367,0.0,0.0,-0.0010785371114815367,-0.0,1.0,1.0188509425471268,0.0,-0.0030823425803613302,0.0
2023-07-04,101.89,102.035,101.515,101.745,85740,196979.0,0.8867449017204114,0.714491886516007,,,,,-0.0013250883392225132,0.0,0.0,-0.0013250883392225132,-0.0,1.0,1.0175008750437518,0.0,-0.004403346543373043,0.0
2023-07-05,101.785,101.92,101.785,101.915,46063,197724.0,0.8621706126413032,0.7092220684195112,,,,,0.001670843776107045,0.0,0.0,0.001670843776107045,0.0,1.0,1.019200960048002,0.0,-0.002739860071432121,0.0
2023-07-06,101.94,101.98,101.845,101.855,54526,198416.0,0.8261672980169047,0.7065502592113762,,,,,-0.000588725899033582,0.0,0.0,-0.000588725899033582,-0.0,1.0,1.018600930046502,0.0,-0.003326972943881845,0.0
2023-07-07,101.92,101.99,101.865,101.935,50245,196878.0,0.8295441253424342,0.7231224579069249,,,,,0.0007854302685188497,0.0,0.0,0.0007854302685188497,0.0,1.0,1.019400970048502,0.0,-0.002544155780615509,0.0
2023-07-10,101.9,102.0,101.805,101.975,54845,198271.0,0.8323267768645809,0.7246441461353891,,,,,0.0003924069259821916,0.0,0.0,0.0003924069259821916,0.0,1.0,1.019800990049502,0.0,-0.0021527471989825075,0.0
2023-07-11,102.045,102.115,102.005,102.045,53199,203781.0,0.7749671028434464,0.7068098042050395,,,,,0.0006864427555774988,0.0,0.0,0.0006864427555774988,0.0,1.0,1.0205010250512523,0.0,-0.0014677821811243108,0.0
2023-07-12,102.01,102.075,101.955,102.05,52578,202714.0,0.68484656677175,0.6371262498144035,-2.7673177184645446,-1.1233368890577602,,,4.899799108226688e-05,0.0,0.0,4.899799108226688e-05,0.0,1.0,1.0205510275513772,0.0,-0.0014188561084202966,0.0
2023-07-13,102.01,102.085,101.96,102.0,47790,202021.0,0.6721690986971841,0.672535880675172,-2.844788866118291,-1.2867108364062019,,,-0.0004899559039686086,0.0,0.0,-0.0004899559039686086,-0.0,1.0,1.020051002550127,0.0,-0.0019081168354617706,0.0
2023-07-14,101.945,102.145,101.88,101.965,94782,201044.0,0.7693613265669785,0.7146463230318525,-1.7269436326465044,-0.8819835589495312,,,-0.00034313725490198177,0.0,0.0,-0.00034313725490198177,-0.0,1.0,1.019700985049252,0.0,-0.002250599344390758,0.0
2023-07-17,101.955,102.175,101.95,102.145,57649,207482.0,0.8081383356986437,0.6721513037965106,-1.2894087211443863,-0.582538581679814,,,0.0017653116265383684,0.0,0.0,0.0017653116265383684,0.0,1.0,1.021501075053752,0.0,-0.000489260727041696,0.0
2023-07-18,102.2,102.275,102.15,102.225,58850,207459.0,0.7663632621323677,0.6782365342935034,-1.7689317900335153,-0.8137171080091197,,,0.000783200352440172,0.0,0.0,0.000783200352440172,0.0,1.0,1.0223011150557522,0.0,0.0,0.0
2023-07-19,102.265,102.27,102.14,102.175,43381,208290.0,0.7532655009429763,0.7000357775051027,-1.8795500751516412,-0.9210736830875508,,,-0.0004891171435558173,0.0,0.0,-0.0004891171435558173,-0.0,1.0,1.0218010900545023,0.0,-0.0004891171435557062,0.0
2023-07-20,102.15,102.275,102.125,102.27,54536,210280.0,0.747970607832283,0.7316940124215334,-1.894798529883891,-1.0144298999159935,,,0.0009297773427943135,0.0,0.0,0.0009297773427943135,0.0,1.0,1.0227511375568774,0.0,0.0,0.0
2023-07-21,102.305,102.415,102.28,102.355,61851,212644.0,0.7286765044810175,0.7472417977014648,-2.05911331528665,-1.1497477283050095,,,0.0008311332746651079,0.0,0.0,0.0008311332746651079,0.0,1.0,1.0236011800590026,0.0,0.0,0.0
2023-07-24,102.42,102.43,102.31,102.425,48883,212973.0,0.7116082097353066,0.7877225112339951,-2.1863430478230534,-1.3566406292760655,,,0.0006838942894826783,0.0,0.0,0.0006838942894826783,0.0,1.0,1.0243012150607527,0.0,0.0,0.0
2023-07-25,102.0,102.055,101.82,101.85,116232,208750.0,0.6844730825192352,0.7659165502493643,-2.411703762485853,-1.414773345345056,,,-0.005613863802782504,0.0,0.0,-0.005613863802782504,-0.0,1.0,1.0185509275463769,0.0,-0.005613863802782615,0.0
2023-07-26,101.91,102.085,101.85,102.07,76509,207184.0,0.6746779121157997,0.7558155230699978,-2.4430206946616764,-1.3955929292763785,,,0.0021600392734413276,0.0,0.0,0.0021600392734413276,0.0,1.0,1.0207510375518771,0.0,-0.003465950695631048,0.0
