date,selection_score,train_sharpe,selected_N,selected_M,selected_n,selected_S,selected_trend_method,selected_ma_len_days,selected_compare_lag_days,date_dt
2023-12-11 10:35:00,0.06888949490606923,4.281748808770262,16,600,2.0,0.5,price_compare,5,,2023-12-11 10:35:00
2023-12-12 10:50:00,0.0733253735410828,4.378125770015364,16,600,2.0,0.5,price_compare,5,,2023-12-12 10:50:00
2023-12-13 11:05:00,0.058295314774200545,4.111264840050731,16,600,2.0,0.5,price_compare,5,,2023-12-13 11:05:00
2023-12-14 11:20:00,0.04912513485536717,4.244966473510939,16,600,2.0,0.5,price_compare,5,,2023-12-14 11:20:00
2023-12-15 13:05:00,0.054694370368923405,3.747849112961792,16,600,2.0,0.5,price_compare,5,,2023-12-15 13:05:00
2023-12-18 13:20:00,0.05423992547786453,3.904293302927976,16,600,2.0,0.5,price_compare,5,,2023-12-18 13:20:00
2023-12-19 13:35:00,0.05391977133715698,4.129814488629612,16,600,2.0,0.5,price_compare,5,,2023-12-19 13:35:00
2023-12-20 13:50:00,0.0543323688917259,3.992336915798396,16,600,2.0,0.5,price_compare,5,,2023-12-20 13:50:00
2023-12-21 14:05:00,0.06745261547425752,4.168842844998136,16,600,2.0,0.5,price_compare,5,,2023-12-21 14:05:00
2023-12-22 14:20:00,0.07119475035567228,4.663898634254099,16,600,2.0,0.5,price_compare,5,,2023-12-22 14:20:00
2023-12-25 14:35:00,0.07206178012320741,4.490727479853514,16,600,2.0,0.5,price_compare,5,,2023-12-25 14:35:00
2023-12-26 14:50:00,0.060125643639319125,4.7124914216263765,16,600,2.0,0.5,price_compare,5,,2023-12-26 14:50:00
2023-12-27 15:05:00,0.05447844663423039,4.77959755141872,16,600,2.0,0.5,price_compare,5,,2023-12-27 15:05:00
2023-12-29 09:35:00,0.05141697471102633,4.478151367163646,16,600,2.0,0.5,price_compare,5,,2023-12-29 09:35:00
2024-01-02 09:50:00,0.019037819968546654,4.308387958033962,16,600,2.0,0.5,price_compare,5,,2024-01-02 09:50:00
2024-01-03 10:05:00,0.02782695135130015,4.736725827536225,16,600,2.0,0.5,price_compare,5,,2024-01-03 10:05:00
2024-01-04 10:20:00,0.0050737787143262155,4.261109353012121,16,600,2.0,0.5,price_compare,5,,2024-01-04 10:20:00
2024-01-05 10:35:00,-0.0016442962127611626,4.041044236803005,16,600,2.0,0.5,price_compare,5,,2024-01-05 10:35:00
2024-01-08 10:50:00,-0.030168430207212958,4.5179555288801705,16,600,2.0,0.5,price_compare,5,,2024-01-08 10:50:00
2024-01-09 11:05:00,-0.03103809909272622,4.3801033296290335,16,600,2.0,0.5,price_compare,5,,2024-01-09 11:05:00
2024-01-10 11:20:00,-0.049064265921774916,4.690818285500101,16,600,2.0,0.5,price_compare,5,,2024-01-10 11:20:00
2024-01-11 13:05:00,-0.03999001651205958,4.3129721548709306,16,600,2.0,0.5,price_compare,5,,2024-01-11 13:05:00
2024-01-12 13:20:00,-0.04003652293727814,4.748053480273524,16,600,2.0,0.5,price_compare,5,,2024-01-12 13:20:00
2024-01-15 13:35:00,-0.0450015018245674,4.765764874983606,16,600,2.0,0.5,price_compare,5,,2024-01-15 13:35:00
2024-01-16 13:50:00,-0.03928853160216672,5.342096935316813,16,600,2.0,0.5,price_compare,5,,2024-01-16 13:50:00
2024-01-17 14:05:00,-0.07418429772920442,5.511597813392519,16,600,2.0,0.5,price_compare,5,,2024-01-17 14:05:00
2024-01-18 14:20:00,-0.07450696362389614,4.845877307899418,16,600,2.0,0.5,price_compare,5,,2024-01-18 14:20:00
2024-01-19 14:35:00,-0.08855072162019294,5.313279783150951,16,600,2.0,0.5,price_compare,5,,2024-01-19 14:35:00
2024-01-22 14:50:00,-0.10896361423011643,5.453151766530718,16,600,2.0,0.5,price_compare,5,,2024-01-22 14:50:00
2024-01-23 15:05:00,-0.10644440253559431,4.98458685489949,16,600,2.0,0.5,price_compare,5,,2024-01-23 15:05:00
2024-01-25 09:35:00,-0.11356986975457298,5.066230242811541,16,600,2.0,0.5,price_compare,5,,2024-01-25 09:35:00
2024-01-26 09:50:00,-0.11054525207214798,4.885283082044544,16,600,2.0,0.5,price_compare,5,,2024-01-26 09:50:00
2024-01-29 10:05:00,-0.11855898647327837,4.816065355515551,16,600,2.0,0.5,price_compare,5,,2024-01-29 10:05:00
2024-01-30 10:20:00,-0.11919179457557702,5.362794776130169,16,600,2.0,0.5,price_compare,5,,2024-01-30 10:20:00
2024-01-31 10:35:00,-0.12066095295151094,5.419925546014134,16,600,2.0,0.5,price_compare,5,,2024-01-31 10:35:00
2024-02-01 10:50:00,-0.1226036265153894,5.442290285967229,16,600,2.0,0.5,price_compare,5,,2024-02-01 10:50:00
2024-02-02 11:05:00,-0.11897078771413043,5.241918970836228,16,600,2.0,0.5,price_compare,5,,2024-02-02 11:05:00
2024-02-05 11:20:00,-0.12535334414692564,5.4199934582536535,16,600,2.0,0.5,price_compare,5,,2024-02-05 11:20:00
2024-02-06 13:05:00,-0.1228471307808455,5.284467877620424,16,600,2.0,0.5,price_compare,5,,2024-02-06 13:05:00
2024-02-07 13:20:00,-0.10850366503599382,5.0478475238575555,16,600,2.0,0.5,price_compare,5,,2024-02-07 13:20:00
2024-02-08 13:35:00,-0.11592169028435549,5.255757429506997,16,600,2.0,0.5,price_compare,5,,2024-02-08 13:35:00
2024-02-19 13:50:00,-0.12135576248202688,5.122236916199439,16,600,2.0,0.5,price_compare,5,,2024-02-19 13:50:00
2024-02-20 14:05:00,-0.12638031709091507,5.269593790823037,16,600,2.0,0.5,price_compare,5,,2024-02-20 14:05:00
2024-02-21 14:20:00,-0.12996020771818145,5.847736265675053,16,600,2.0,0.5,price_compare,5,,2024-02-21 14:20:00
2024-02-22 14:35:00,-0.14181930234141976,6.0537117887116905,16,600,2.0,0.5,price_compare,5,,2024-02-22 14:35:00
2024-02-23 14:50:00,-0.1526939201828541,5.78064395323164,16,600,2.0,0.5,price_compare,5,,2024-02-23 14:50:00
2024-02-26 15:05:00,-0.15264873056906963,5.784453065098688,16,600,2.0,0.5,price_compare,5,,2024-02-26 15:05:00
